Status,Subsystem,Supplier,Description,Qty.,Cost,Tax,Shipping,Total Cost,Link
Ordered,Final Drive,AutoTech,Adjustable Differential V3,1,2784.38, $ -   , $ 35.10 ,2819.48,https://autotech.com/i-30499382-drexler-adjustable-fsae-differential-v2-v3.html
Ordered,Chassis,ECS Tuning,6 Point Harness,1,399.00, $ 27.93 , $ 16.99 ,443.92,https://www.ecstuning.com/b-schroth-parts/profi-2x2-pull-up-adjusted-lap/sr-space-94550~dk/?pdk=AQ
In Stock,Business,Amazon,"8x10 Picture Frame, Set of 10",5,28.79, $ 10.10 , $ -   ,154.05,https://www.amazon.com/dp/B07PY1K4K5?ref_=cm_sw_r_cp_ud_dp_NR2T1AZ0ND8N63VQJYFW&th=1
In Stock,Powertrain,Amazon,"1"" X 1"" Elbow Connectors ",1,28.99, $ 7.34 , $ -   ,36.33,https://www.amazon.com/dp/B09TP475GG/ref=sspa_dk_detail_3?pd_rd_i=B09TP475GG&pd_rd_w=m8CNl&content-id=amzn1.sym.4d0fffec-3aba-4480-8fad-c6bd8f7f6b41&pf_rd_p=4d0fffec-3aba-4480-8fad-c6bd8f7f6b41&pf_rd_r=PWQBWX9Q4TH1ERHMN6QN&pd_rd_wg=4Ksk9&pd_rd_r=786bbc5c-1771-4c0a-8b1e-e3722c84ea2d&s=hi&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyUkNWUDVHTTdMRk1FJmVuY3J5cHRlZElkPUEwMzE3MzIxNFdEUTlHMVEwVTZNJmVuY3J5cHRlZEFkSWQ9QTA4NTc2MThLU1FFVjZHMVQwTjYmd2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWMmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl&th=1
In Stock,Powertrain,Amazon,"1"" X 1"" 90 Degree Elbow Connectors",1,22.99, $ -   , $ -   ,22.99,https://www.amazon.com/EFIELD-Expansion-Fitting-Degree-Tubing/dp/B09LCF2CF4?psc=1&pd_rd_w=zE9Du&pf_rd_p=38b4463a-ab00-4e12-95ab-b4e648981be5&pf_rd_r=YTBPSAP79Q03ZTYH7W2A&pd_rd_wg=13Sql&pd_rd_r=4d2467bd-e903-4771-8fea-cfeef7503fec&content-id=amzn1.sym.38b4463a-ab00-4e12-95ab-b4e648981be5&ref_=sspa_dk_rhf_search_pt_sub_8&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFNTlNGNzJYWjhaNjMmZW5jcnlwdGVkSWQ9QTAwODQyMzVGQlRGTzBOVTI0TVcmZW5jcnlwdGVkQWRJZD1BMDMwNTA0MzFXSFRLQjc3QThESSZ3aWRnZXROYW1lPXNwX3JoZl9zZWFyY2hfcGVyc29uYWxpemVkJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==
In Stock,Powertrain,Amazon,"1"" Hose pipe connectors",1,7.99, $ -   , $ -   ,7.99,https://www.amazon.com/dp/B08JCNN9CS/ref=sspa_dk_detail_9?pd_rd_i=B08JCNN9CS&pd_rd_w=7YTLL&content-id=amzn1.sym.999c0877-3704-4f0f-9726-eebf80846a35&pf_rd_p=999c0877-3704-4f0f-9726-eebf80846a35&pf_rd_r=9N8VXEPKSSK655AWMMQV&pd_rd_wg=acned&pd_rd_r=86d4fc8b-28eb-4bd2-a848-5dc5d2c2486a&s=industrial&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUE0M1oyM1RGVE9LNDUmZW5jcnlwdGVkSWQ9QTAxNDI1NTdMSUZONU0wQklMSkYmZW5jcnlwdGVkQWRJZD1BMDUyMzkyMjNSVTRETFM0OUpCMjQmd2lkZ2V0TmFtZT1zcF9kZXRhaWwmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl&th=1
In Stock,Powertrain,Amazon,"1"" Tee pipe fitting connector",1,20.86, $ -   , $ -   ,20.86,https://www.amazon.com/dp/B07XFYV1Z3/ref=sspa_dk_detail_3?pd_rd_i=B07XFYV1Z3&pd_rd_w=y7biO&content-id=amzn1.sym.3481f441-61ac-4028-9c1a-7f9ce8ec50c5&pf_rd_p=3481f441-61ac-4028-9c1a-7f9ce8ec50c5&pf_rd_r=FE5FVEV1QXESP7FSJTBF&pd_rd_wg=9mz7P&pd_rd_r=340dd4b5-2522-4f1f-a777-3ff74c18bf21&s=hi&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExRFdKSjkwQTZZQTUxJmVuY3J5cHRlZElkPUExMDI0ODcxMkVFVVFLTzdGMjQ2NSZlbmNyeXB0ZWRBZElkPUEwMzAwNTc4Mks4R1ZYSUQ0MlhPOSZ3aWRnZXROYW1lPXNwX2RldGFpbF90aGVtYXRpYyZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU&th=1
In Stock,Powertrain,Amazon,"1""-3/4"" fitting connector",1,23.98, $ -   , $ -   ,23.98,https://www.amazon.com/EFIELD-Reducing-Coupling-Fitting-Free-5/dp/B08GF8NS29?psc=1&pd_rd_w=zE9Du&pf_rd_p=38b4463a-ab00-4e12-95ab-b4e648981be5&pf_rd_r=YTBPSAP79Q03ZTYH7W2A&pd_rd_wg=13Sql&pd_rd_r=4d2467bd-e903-4771-8fea-cfeef7503fec&content-id=amzn1.sym.38b4463a-ab00-4e12-95ab-b4e648981be5&ref_=sspa_dk_rhf_search_pt_sub_18&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFNTlNGNzJYWjhaNjMmZW5jcnlwdGVkSWQ9QTAwODQyMzVGQlRGTzBOVTI0TVcmZW5jcnlwdGVkQWRJZD1BMDA1ODI5NTJZQUw0UlE5WVFTVUEmd2lkZ2V0TmFtZT1zcF9yaGZfc2VhcmNoX3BlcnNvbmFsaXplZCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
In Stock,Suspension,Lowes,2x4in x4 foot board,7,3.68, $ 10.48 , $ -   ,36.24,https://www.homedepot.com/p/2-in-x-4-in-x-8-ft-Prime-Whitewood-Stud-058449/312528776
In Stock,Suspension,Lowes, #9 2.5in screws,1,8.98, $ -   , $ -   ,8.98,https://www.homedepot.com/p/Grip-Rite-9-x-2-1-2-in-Philips-Bugle-Head-Coarse-Thread-Sharp-Point-Polymer-Coated-Exterior-Screws-1-lb-Pack-PTN212S1/100173447
